id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
446,1,3,4,2,0,0.1,42,13,5,2,0,0.6774,0
447,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
448,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
449,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
450,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
451,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
452,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
453,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
454,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
455,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
456,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
457,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
458,2,0,0,0,0,1.0,2,0,0,0,0,1.0,0
459,2,0,0,0,0,1.0,2,0,0,0,0,1.0,1
460,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
461,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
462,24,0,0,0,0,1.0,36,0,0,0,0,1.0,1
463,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
464,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
465,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
466,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
467,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
468,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
469,52,1,0,0,0,0.9811,52,1,0,0,0,0.9811,0
470,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,1
471,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
472,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,1
473,10,17,20,0,0,0.2128,10,17,20,0,0,0.2128,0
474,5,0,0,0,0,1.0,6,0,0,0,0,1.0,1
475,5,0,0,0,0,1.0,6,0,0,0,0,1.0,1
476,5,0,0,0,0,1.0,6,0,0,0,0,1.0,1
477,1,0,0,0,0,1.0,5,0,0,0,0,1.0,1
478,2,5,0,0,0,0.2857,4,5,0,0,0,0.4444,0
479,2,5,0,0,0,0.2857,4,5,0,0,0,0.4444,0
480,13,0,0,0,0,1.0,16,0,0,0,0,1.0,1
481,3,3,0,0,0,0.5,6,4,0,0,0,0.6,1
482,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,0
483,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,1
484,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,1
485,20,13,0,0,0,0.6061,47,18,0,0,0,0.7231,1
486,13,0,0,0,0,1.0,16,0,0,0,0,1.0,1
